rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1434,2100,Manufacturing,Yu Qibing & family,57.0,China,Glass,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Manufacturing,Yuan Fugen & family,72.0,China,Metal processing,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Manufacturing,Zhang Ning & family,49.0,China,Chemicals,Manufacturing,True,F,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1434,2100,Healthcare,Zhao Tao,57.0,China,Pharmaceuticals,Healthcare,False,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Construction & Engineering,Anu Aga,80.0,India,Engineering,Construction,False,F,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1516,2000,Fashion & Retail,Mohamed Al Fayed,94.0,United Kingdom,"Retail, investments",Fashion,True,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1516,2000,Technology,Andrey Andreev,49.0,United Kingdom,Online dating,Technology,True,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1516,2000,Technology,Pavel Baudis,62.0,Czech Republic,Software,Technology,True,M,64.1,79.0,"$246,489,245,495 ",10669709.0
1516,2000,Healthcare,Wilhelm Beier & family,66.0,Germany,Pharmaceuticals,Healthcare,True,M,70.2,80.9,"$3,845,630,030,824 ",83132799.0
1516,2000,Manufacturing,Cao Jianwei,44.0,China,Semiconductors,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Manufacturing,Huwen Chen,52.0,China,Stationery,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Diversified,Phongthep Chiaravanont,71.0,Thailand,Diversified,Diversified,False,M,49.3,76.9,"$543,649,976,166 ",69625582.0
1516,2000,Diversified,Dou Zhenggang,69.0,China,"Energy, chemicals",Diversified,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Diversified,William Franke,85.0,United States,Low-cost airlines,Diversified,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Real Estate,Amy Goldman Fowler,68.0,United States,Real estate,Real Estate,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Metals & Mining,John Hancock,47.0,United Kingdom,Mining,Mining,False,M,60.0,81.3,"$2,827,113,184,696 ",66834405.0
1516,2000,Technology,Hu Yangzhong,58.0,China,Technology,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Media & Entertainment,Huang Qiaoling,64.0,China,Amusement parks,Entertainment,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Finance & Investments,Rajiv Jain,55.0,United States,Finance,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Sports,Michael Jordan,60.0,United States,"Charlotte Hornets, endorsements",Sports,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Real Estate,Diane Kemper,77.0,United States,Real estate,Real Estate,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Technology,Shlomo Kramer,57.0,Israel,"Software, investments",Technology,True,M,63.4,82.8,"$395,098,666,122 ",9053300.0
1516,2000,Healthcare,Heikki Kyostila,77.0,Finland,Dental products,Healthcare,True,M,88.2,81.7,"$268,761,201,365 ",5520314.0
1516,2000,Technology,Li Min,57.0,China,Semiconductor,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Technology,Liang Rubo,40.0,China,TikTok,Technology,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Manufacturing,Liang Zhaoxian,58.0,China,Appliances,Manufacturing,False,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Energy,Lin Fanlian,61.0,China,"Energy, real estate",Energy,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Manufacturing,Aloke Lohia,64.0,Thailand,Petrochemicals,Manufacturing,False,M,49.3,76.9,"$543,649,976,166 ",69625582.0
1516,2000,Real Estate,Bill Malhotra,73.0,Canada,Real estate,Real Estate,True,M,68.9,81.9,"$1,736,425,629,520 ",36991981.0
